iter	RMSE
0	8.960778612
1	7.787489927
2	7.205765012
3	6.909721588
4	6.605604222
5	6.290522738
6	6.16973555
7	6.037083069
8	5.847949348
9	5.656690028
10	5.56872241
11	5.437481708
12	5.415687909
13	5.29329751
14	5.256397588
15	5.154870465
16	5.128182177
17	5.09006541
18	5.034787075
19	4.991707126
20	4.91263862
21	4.840684476
22	4.75249441
23	4.706868417
24	4.601562482
25	4.557001783
26	4.484802221
27	4.464914454
28	4.356989936
29	4.298279849
30	4.238313993
31	4.18409661
32	4.162051736
33	4.102185959
34	4.079763523
35	4.042828262
36	3.977685877
37	3.958811417
38	3.948254922
39	3.908833255
40	3.895499205
41	3.854531858
42	3.82951169
43	3.801005344
44	3.718274954
45	3.70072372
46	3.673908971
47	3.650139486
48	3.59050426
49	3.569874987
