iter	Passed	Remaining
0	63	3107
1	65	1565
2	66	1046
3	68	790
4	70	634
5	71	527
6	73	452
7	76	399
8	78	355
9	79	319
10	81	289
11	83	263
12	84	241
13	86	222
14	88	206
15	90	191
16	93	180
17	94	168
18	97	158
19	99	149
20	101	139
21	102	131
22	104	123
23	106	115
24	108	108
25	110	102
26	112	96
27	114	89
28	116	84
29	118	78
30	120	73
31	122	68
32	124	64
33	126	59
34	128	54
35	129	50
36	131	46
37	133	42
38	135	38
39	137	34
40	138	30
41	140	26
42	142	23
43	143	19
44	145	16
45	147	12
46	148	9
47	150	6
48	152	3
49	154	0
